read_time_s,timestamp_s,age_s,frame_index,valid,label,confidence,cx,cy,x1,y1,x2,y2,depth_mm,camera_x_m,camera_y_m,camera_z_m,fps,color_source,depth_source
1779894814.035184,1779894813.991657,0.043527,4257,True,bottle,0.68807,224,46,207.424,5.787,241.384,86.43,659.0,-0.115596,-0.216528,0.659,7.412,auto,/dev/video0
1779894814.536446,1779894814.478303,0.058143,4261,True,bottle,0.633622,224,46,207.366,5.666,241.178,86.56,664.0,-0.116473,-0.218171,0.664,7.838,auto,/dev/video0
1779894815.037835,1779894814.990073,0.047762,4265,True,bottle,0.654762,224,47,207.308,7.281,241.152,86.359,660.0,-0.115772,-0.215767,0.66,7.855,auto,/dev/video0
1779894815.539228,1779894815.457913,0.081315,4269,True,bottle,0.703394,224,48,207.141,6.355,240.922,88.794,665.0,-0.116649,-0.216303,0.665,8.214,auto,/dev/video0
1779894816.040649,1779894815.934404,0.106245,4273,True,bottle,0.698403,224,47,207.066,5.96,241.302,88.094,660.0,-0.115772,-0.215767,0.66,8.291,auto,/dev/video0
1779894816.542058,1779894816.527582,0.014476,4278,True,bottle,0.688074,225,45,208.017,5.011,242.389,84.461,663.0,-0.115204,-0.218938,0.663,8.331,auto,/dev/video0
1779894817.043477,1779894817.00047,0.043007,4282,True,bottle,0.713172,224,47,207.127,7.096,240.941,86.326,667.0,-0.117,-0.218055,0.667,8.413,auto,/dev/video0
1779894817.54488,1779894817.472371,0.072509,4286,True,bottle,0.697525,224,46,207.158,5.897,241.204,86.77,666.0,-0.116824,-0.218828,0.666,8.451,auto,/dev/video0
1779894818.046346,1779894817.930784,0.115562,4290,True,bottle,0.699726,224,48,206.979,6.263,240.93,89.13,662.0,-0.116123,-0.215327,0.662,8.6,auto,/dev/video0
1779894818.547644,1779894818.544628,0.003016,4295,True,bottle,0.654768,225,45,207.918,4.902,242.177,84.78,665.0,-0.115551,-0.219598,0.665,8.314,auto,/dev/video0
1779894819.048918,1779894819.029429,0.019489,4299,True,bottle,0.718821,224,48,206.837,7.364,241.07,88.343,665.0,-0.116649,-0.216303,0.665,8.321,auto,/dev/video0
1779894819.550342,1779894819.505128,0.045214,4303,True,bottle,0.707009,224,48,206.81,7.303,241.1,88.077,657.0,-0.115246,-0.213701,0.657,8.376,auto,/dev/video0
1779894820.051747,1779894819.969428,0.082319,4307,True,bottle,0.705806,224,48,206.815,6.079,240.984,89.95,662.0,-0.116123,-0.215327,0.662,8.483,auto,/dev/video0
1779894820.553109,1779894820.543966,0.009143,4312,True,bottle,0.697365,224,48,207.003,6.264,240.86,88.857,661.0,-0.115947,-0.215002,0.661,8.584,auto,/dev/video0
1779894821.054484,1779894820.999808,0.054676,4316,True,bottle,0.719651,224,47,207.314,6.432,240.795,86.857,660.0,-0.115772,-0.215767,0.66,8.682,auto,/dev/video0
1779894821.555838,1779894821.457774,0.098064,4320,True,bottle,0.701356,224,47,207.009,6.451,240.821,88.41,666.0,-0.116824,-0.217728,0.666,8.722,auto,/dev/video0
1779894822.057203,1779894822.031311,0.025892,4325,True,bottle,0.69969,224,47,207.058,6.366,240.846,87.844,667.0,-0.117,-0.218055,0.667,8.726,auto,/dev/video0
1779894822.558668,1779894822.482852,0.075816,4329,True,bottle,0.70129,224,47,207.015,7.358,241.098,87.266,663.0,-0.116298,-0.216748,0.663,8.792,auto,/dev/video0
1779894823.060091,1779894823.056683,0.003408,4334,True,bottle,0.704258,224,47,207.083,6.536,240.829,87.404,662.0,-0.116123,-0.216421,0.662,8.757,auto,/dev/video0
1779894823.561461,1779894823.515326,0.046135,4338,True,bottle,0.608991,225,44,208.151,4.748,242.259,83.943,668.0,-0.116073,-0.221692,0.668,8.752,auto,/dev/video0
