read_time_s,timestamp_s,age_s,frame_index,valid,label,confidence,cx,cy,x1,y1,x2,y2,depth_mm,camera_x_m,camera_y_m,camera_z_m,fps,color_source,depth_source
1779895746.67261,1779895746.619884,0.052726,11995,True,bottle,0.794612,191,43,177.732,3.637,204.607,82.553,653.0,-0.15011,-0.217792,0.653,7.554,auto,/dev/video0
1779895747.173577,1779895747.097078,0.076499,11999,True,bottle,0.787039,191,43,177.703,3.573,204.469,82.687,650.0,-0.14942,-0.216792,0.65,7.978,auto,/dev/video0
1779895747.674932,1779895747.572125,0.102807,12003,True,bottle,0.801506,191,43,177.807,3.644,204.567,83.057,649.0,-0.14919,-0.216458,0.649,8.19,auto,/dev/video0
1779895748.176068,1779895748.161216,0.014852,12008,True,bottle,0.75457,191,43,177.74,3.713,204.57,82.397,648.0,-0.14896,-0.216125,0.648,8.399,auto,/dev/video0
1779895748.677482,1779895748.632493,0.044989,12012,True,bottle,0.812693,191,43,177.788,3.676,204.383,82.076,654.0,-0.15034,-0.218126,0.654,8.458,auto,/dev/video0
1779895749.178878,1779895749.11002,0.068858,12016,True,bottle,0.761192,191,45,177.168,4.491,204.179,86.396,650.0,-0.14942,-0.214645,0.65,8.416,auto,/dev/video0
1779895749.680021,1779895749.597766,0.082255,12020,True,bottle,0.769846,191,43,177.69,3.634,204.25,81.714,652.0,-0.14988,-0.217459,0.652,8.329,auto,/dev/video0
1779895750.18138,1779895750.074039,0.107341,12024,True,bottle,0.780925,191,45,177.111,4.29,204.353,86.152,646.0,-0.148501,-0.213324,0.646,8.364,auto,/dev/video0
1779895750.682784,1779895750.65896,0.023823,12029,True,bottle,0.80348,191,43,177.654,3.598,204.441,81.725,648.0,-0.14896,-0.216125,0.648,8.503,auto,/dev/video0
1779895751.184168,1779895751.127767,0.056401,12033,True,bottle,0.815518,191,45,177.183,4.403,204.109,86.306,647.0,-0.148731,-0.213654,0.647,8.52,auto,/dev/video0
1779895751.685576,1779895751.584633,0.100943,12037,True,bottle,0.808658,191,43,177.805,3.792,204.43,81.541,639.0,-0.146891,-0.213123,0.639,8.628,auto,/dev/video0
1779895752.18698,1779895752.178657,0.008323,12042,True,bottle,0.72375,191,46,177.195,4.597,204.045,87.944,650.0,-0.14942,-0.213571,0.65,8.506,auto,/dev/video0
1779895752.688296,1779895752.658354,0.029942,12046,True,bottle,0.789136,191,43,177.671,3.736,204.556,82.677,647.0,-0.148731,-0.215791,0.647,8.47,auto,/dev/video0
1779895753.18982,1779895753.124093,0.065727,12050,True,bottle,0.806993,191,43,177.808,3.716,204.655,81.949,647.0,-0.148731,-0.215791,0.647,8.532,auto,/dev/video0
1779895753.691257,1779895753.589517,0.10174,12054,True,bottle,0.770002,191,44,177.866,3.602,204.455,83.695,645.0,-0.148271,-0.214059,0.645,8.586,auto,/dev/video0
1779895754.192735,1779895754.076633,0.116102,12058,True,bottle,0.804856,191,43,177.673,3.659,204.42,81.459,644.0,-0.148041,-0.214791,0.644,8.386,auto,/dev/video0
1779895754.694134,1779895754.678924,0.01521,12063,True,bottle,0.756023,191,43,177.816,3.59,204.681,82.812,643.5,-0.147926,-0.214624,0.6435,8.333,auto,/dev/video0
1779895755.195544,1779895755.154503,0.041041,12067,True,bottle,0.737047,191,46,177.048,4.201,204.481,86.871,650.0,-0.14942,-0.213571,0.65,8.385,auto,/dev/video0
1779895755.696889,1779895755.649712,0.047177,12071,True,bottle,0.8001,191,43,177.586,3.755,204.709,83.01,643.0,-0.147811,-0.214457,0.643,8.291,auto,/dev/video0
1779895756.198323,1779895756.131748,0.066575,12075,True,bottle,0.827374,191,42,177.675,3.806,204.609,81.041,648.0,-0.14896,-0.217195,0.648,8.301,auto,/dev/video0
