read_time_s,timestamp_s,age_s,frame_index,valid,label,confidence,cx,cy,x1,y1,x2,y2,depth_mm,camera_x_m,camera_y_m,camera_z_m,fps,color_source,depth_source
1779895905.255172,1779895905.176076,0.079097,13302,True,bottle,0.875537,166,48,153.068,5.512,179.881,90.245,595.0,-0.161328,-0.193534,0.595,7.544,auto,/dev/video0
1779895905.756403,1779895905.68963,0.066773,13306,True,bottle,0.852947,166,48,153.155,5.692,179.799,90.426,595.0,-0.161328,-0.193534,0.595,7.749,auto,/dev/video0
1779895906.257585,1779895906.167717,0.089868,13310,True,bottle,0.837837,166,48,153.15,5.368,179.816,90.266,598.0,-0.162141,-0.19451,0.598,8.05,auto,/dev/video0
1779895906.758907,1779895906.644091,0.114816,13314,True,bottle,0.846897,166,48,153.172,5.611,179.641,90.377,593.0,-0.160785,-0.192884,0.593,8.232,auto,/dev/video0
1779895907.260256,1779895907.240802,0.019454,13319,True,bottle,0.812399,167,48,153.183,5.338,179.979,91.14,597.0,-0.160885,-0.194185,0.597,8.309,auto,/dev/video0
1779895907.761575,1779895907.7076,0.053975,13323,True,bottle,0.87192,166,48,153.214,5.847,179.58,89.651,596.0,-0.161599,-0.19386,0.596,8.438,auto,/dev/video0
1779895908.262912,1779895908.217767,0.045145,13327,True,bottle,0.851505,167,48,153.169,5.635,179.857,91.008,598.0,-0.161154,-0.19451,0.598,8.194,auto,/dev/video0
1779895908.764121,1779895908.689229,0.074892,13331,True,bottle,0.834622,166,48,153.065,5.598,179.643,89.546,592.0,-0.160514,-0.192558,0.592,8.323,auto,/dev/video0
1779895909.265468,1779895909.159181,0.106287,13335,True,bottle,0.868325,167,48,153.204,5.486,179.968,90.105,595.0,-0.160346,-0.193534,0.595,8.401,auto,/dev/video0
1779895909.766812,1779895909.764755,0.002057,13340,True,bottle,0.837248,167,47,153.223,5.311,179.828,89.442,595.0,-0.160346,-0.194517,0.595,8.335,auto,/dev/video0
1779895910.268054,1779895910.250523,0.017531,13344,True,bottle,0.852196,166,48,153.07,5.517,179.811,89.903,593.0,-0.160785,-0.192884,0.593,8.28,auto,/dev/video0
1779895910.769462,1779895910.756879,0.012583,13348,True,bottle,0.878442,167,48,153.059,5.369,180.1,90.217,597.0,-0.160885,-0.194185,0.597,8.14,auto,/dev/video0
1779895911.270914,1779895911.233797,0.037117,13352,True,bottle,0.839365,166,48,153.122,5.201,179.797,90.244,599.0,-0.162412,-0.194835,0.599,8.251,auto,/dev/video0
1779895911.772312,1779895911.717929,0.054383,13356,True,bottle,0.863929,167,48,153.112,5.628,179.92,90.431,592.0,-0.159537,-0.192558,0.592,8.246,auto,/dev/video0
1779895912.273576,1779895912.200899,0.072677,13360,True,bottle,0.859737,167,48,153.107,5.591,179.905,90.208,596.0,-0.160615,-0.19386,0.596,8.253,auto,/dev/video0
1779895912.774952,1779895912.677897,0.097055,13364,True,bottle,0.871062,166,48,153.315,5.446,179.625,89.651,597.0,-0.16187,-0.194185,0.597,8.32,auto,/dev/video0
1779895913.276382,1779895913.259009,0.017374,13369,True,bottle,0.872299,166,48,153.081,5.438,179.882,89.975,599.5,-0.162548,-0.194998,0.5995,8.473,auto,/dev/video0
1779895913.77774,1779895913.725256,0.052484,13373,True,bottle,0.869428,167,48,153.066,6.06,179.957,89.805,593.5,-0.159941,-0.193046,0.5935,8.535,auto,/dev/video0
1779895914.279134,1779895914.188474,0.09066,13377,True,bottle,0.864538,166,48,153.043,5.455,179.933,89.814,594.0,-0.161056,-0.193209,0.594,8.578,auto,/dev/video0
1779895914.78051,1779895914.680716,0.099794,13381,True,bottle,0.871007,167,48,153.211,5.635,179.886,89.943,595.0,-0.160346,-0.193534,0.595,8.334,auto,/dev/video0
