read_time_s,timestamp_s,age_s,frame_index,valid,label,confidence,cx,cy,x1,y1,x2,y2,depth_mm,camera_x_m,camera_y_m,camera_z_m,fps,color_source,depth_source
1779895077.286194,1779895077.185954,0.10024,6470,True,bottle,0.866582,162,63,147.234,21.645,176.157,103.887,523.0,-0.145258,-0.157158,0.523,7.746,auto,/dev/video0
1779895077.787412,1779895077.704624,0.082788,6474,True,bottle,0.86695,162,64,147.22,21.743,175.813,105.774,523.0,-0.145258,-0.156294,0.523,7.867,auto,/dev/video0
1779895078.288789,1779895078.183714,0.105075,6478,True,bottle,0.871542,162,64,147.258,21.673,175.853,105.917,523.0,-0.145258,-0.156294,0.523,8.091,auto,/dev/video0
1779895078.790226,1779895078.674306,0.11592,6482,True,bottle,0.872644,162,64,147.195,21.647,175.846,105.91,524.0,-0.145536,-0.156593,0.524,8.099,auto,/dev/video0
1779895079.291527,1779895079.264644,0.026883,6487,True,bottle,0.870296,162,62,147.15,21.422,176.251,103.273,523.0,-0.145258,-0.158022,0.523,8.325,auto,/dev/video0
1779895079.792939,1779895079.745419,0.04752,6491,True,bottle,0.868878,162,63,147.173,21.572,176.353,103.43,522.0,-0.144981,-0.156857,0.522,8.361,auto,/dev/video0
1779895080.294433,1779895080.216455,0.077978,6495,True,bottle,0.873032,162,63,147.158,21.604,176.202,103.407,523.0,-0.145258,-0.157158,0.523,8.439,auto,/dev/video0
1779895080.795776,1779895080.724103,0.071673,6499,True,bottle,0.874313,162,64,147.294,21.764,175.865,105.924,524.0,-0.145536,-0.156593,0.524,8.256,auto,/dev/video0
1779895081.29717,1779895081.247112,0.050058,6503,True,bottle,0.863945,162,64,147.215,21.769,175.879,106.09,524.0,-0.145536,-0.156593,0.524,7.979,auto,/dev/video0
1779895081.798535,1779895081.717005,0.08153,6507,True,bottle,0.870943,162,64,147.248,21.691,175.918,105.852,524.0,-0.145536,-0.156593,0.524,8.237,auto,/dev/video0
1779895082.299881,1779895082.191985,0.107897,6511,True,bottle,0.868543,162,64,147.35,21.755,175.797,105.852,524.0,-0.145536,-0.156593,0.524,8.334,auto,/dev/video0
1779895082.800836,1779895082.770231,0.030605,6516,True,bottle,0.869225,162,64,147.214,21.782,175.811,105.771,523.5,-0.145397,-0.156444,0.5235,8.525,auto,/dev/video0
1779895083.301981,1779895083.272975,0.029006,6520,True,bottle,0.874309,162,63,147.343,21.662,176.067,103.525,523.0,-0.145258,-0.157158,0.523,8.253,auto,/dev/video0
1779895083.803081,1779895083.735137,0.067944,6524,True,bottle,0.860787,161,64,147.056,22.045,175.927,105.885,523.0,-0.146122,-0.156294,0.523,8.439,auto,/dev/video0
1779895084.304484,1779895084.209617,0.094867,6528,True,bottle,0.875579,162,62,147.157,21.625,176.105,103.073,522.0,-0.144981,-0.15772,0.522,8.435,auto,/dev/video0
1779895084.80586,1779895084.705809,0.100051,6532,True,bottle,0.865028,162,63,147.222,21.555,176.355,103.812,524.0,-0.145536,-0.157458,0.524,8.279,auto,/dev/video0
1779895085.307256,1779895085.214231,0.093025,6536,True,bottle,0.878396,162,64,147.357,21.84,175.859,105.752,523.0,-0.145258,-0.156294,0.523,8.078,auto,/dev/video0
1779895085.808692,1779895085.699567,0.109125,6540,True,bottle,0.870156,162,64,147.229,21.617,175.832,105.873,523.0,-0.145258,-0.156294,0.523,8.152,auto,/dev/video0
1779895086.310098,1779895086.306044,0.004054,6545,True,bottle,0.873536,162,64,147.254,21.871,175.808,105.692,523.0,-0.145258,-0.156294,0.523,8.261,auto,/dev/video0
1779895086.81143,1779895086.687155,0.124275,6548,True,bottle,0.872516,161,64,147.102,21.837,175.85,105.879,522.0,-0.145842,-0.155995,0.522,8.102,auto,/dev/video0
