read_time_s,timestamp_s,age_s,frame_index,valid,label,confidence,cx,cy,x1,y1,x2,y2,depth_mm,camera_x_m,camera_y_m,camera_z_m,fps,color_source,depth_source
1779894875.87238,1779894875.732115,0.140265,4781,True,bottle,0.721842,146,60,130.225,17.68,160.895,101.847,658.0,-0.20013,-0.200985,0.658,8.124,auto,/dev/video0
1779894876.373619,1779894876.293641,0.079978,4785,True,bottle,0.669945,146,60,130.239,17.511,160.836,102.04,654.0,-0.198913,-0.199763,0.654,7.847,auto,/dev/video0
1779894876.875001,1779894876.817738,0.057263,4789,True,bottle,0.734974,146,60,130.27,17.21,161.006,101.961,652.0,-0.198305,-0.199152,0.652,7.744,auto,/dev/video0
1779894877.376366,1779894877.336959,0.039407,4793,True,bottle,0.630371,146,59,130.181,16.999,161.061,101.891,657.0,-0.199825,-0.201764,0.657,7.738,auto,/dev/video0
1779894877.877717,1779894877.821632,0.056085,4797,True,bottle,0.708837,146,60,130.314,18.25,161.033,102.088,654.0,-0.198913,-0.199763,0.654,8.016,auto,/dev/video0
1779894878.379065,1779894878.292865,0.0862,4801,True,bottle,0.749554,145,60,130.186,16.595,160.291,103.298,656.0,-0.200604,-0.200374,0.656,8.252,auto,/dev/video0
1779894878.880421,1779894878.795133,0.085288,4805,True,bottle,0.729062,146,60,130.124,17.0,161.244,102.174,655.0,-0.199217,-0.200068,0.655,8.117,auto,/dev/video0
1779894879.381593,1779894879.279769,0.101824,4809,True,bottle,0.709925,146,60,130.126,17.504,160.878,101.952,648.0,-0.197088,-0.19793,0.648,8.214,auto,/dev/video0
1779894879.882975,1779894879.867812,0.015163,4814,True,bottle,0.748067,146,60,130.233,17.214,161.086,101.875,655.0,-0.199217,-0.200068,0.655,8.367,auto,/dev/video0
1779894880.384347,1779894880.331041,0.053306,4818,True,bottle,0.698849,146,60,130.276,17.185,161.06,101.998,654.0,-0.198913,-0.199763,0.654,8.498,auto,/dev/video0
1779894880.885583,1779894880.801899,0.083684,4822,True,bottle,0.748002,146,60,130.439,17.89,160.939,102.024,653.0,-0.198609,-0.199458,0.653,8.509,auto,/dev/video0
1779894881.386955,1779894881.381122,0.005833,4827,True,bottle,0.735909,146,60,130.238,17.53,160.995,102.098,651.0,-0.198,-0.198847,0.651,8.599,auto,/dev/video0
1779894881.888309,1779894881.841149,0.04716,4831,True,bottle,0.728869,146,60,130.154,17.642,161.146,102.059,653.0,-0.198609,-0.199458,0.653,8.637,auto,/dev/video0
1779894882.38958,1779894882.308945,0.080635,4835,True,bottle,0.731723,146,60,130.216,17.637,160.88,101.998,650.0,-0.197696,-0.198541,0.65,8.614,auto,/dev/video0
1779894882.890925,1779894882.778973,0.111952,4839,True,bottle,0.751209,145,60,130.377,16.641,160.354,102.839,656.0,-0.200604,-0.200374,0.656,8.588,auto,/dev/video0
1779894883.392323,1779894883.360535,0.031788,4844,True,bottle,0.658931,146,60,130.143,17.226,161.054,101.893,648.0,-0.197088,-0.19793,0.648,8.656,auto,/dev/video0
1779894883.89358,1779894883.846073,0.047507,4848,True,bottle,0.747641,145,60,129.987,17.504,160.963,102.109,651.0,-0.199075,-0.198847,0.651,8.464,auto,/dev/video0
1779894884.394961,1779894884.316451,0.07851,4852,True,bottle,0.730816,145,60,130.191,16.695,160.402,102.731,647.0,-0.197852,-0.197625,0.647,8.492,auto,/dev/video0
1779894884.896336,1779894884.890657,0.005679,4857,True,bottle,0.737576,146,60,130.162,17.726,160.89,101.913,652.0,-0.198305,-0.199152,0.652,8.613,auto,/dev/video0
1779894885.397905,1779894885.333926,0.063979,4861,True,bottle,0.720707,146,60,130.117,17.682,161.02,101.903,648.0,-0.197088,-0.19793,0.648,8.806,auto,/dev/video0
